iter	Passed	Remaining
540	31918	56579
541	31981	56528
542	32039	56467
543	32093	56398
544	32147	56332
545	32209	56278
546	32267	56217
547	32327	56160
548	32379	56089
549	32477	56097
550	32546	56054
551	32630	56039
552	32710	56015
553	32770	55957
554	32823	55889
555	32882	55828
556	32940	55767
557	32993	55699
558	33057	55647
559	33120	55594
560	33178	55534
561	33242	55482
562	33299	55420
563	33367	55375
564	33430	55323
565	33494	55271
566	33551	55209
567	33617	55161
568	33678	55104
569	33733	55039
570	33785	54968
571	33876	54960
572	33974	54963
573	34065	54955
574	34141	54922
575	34212	54882
576	34280	54837
577	34341	54780
578	34399	54717
579	34459	54660
580	34515	54594
581	34575	54535
582	34638	54483
583	34700	54427
584	34759	54366
585	34813	54300
586	34874	54242
587	34931	54179
588	34988	54116
589	35046	54054
590	35106	53996
591	35158	53925
592	35215	53863
593	35269	53795
594	35334	53743
595	35398	53691
596	35447	53616
597	35506	53556
598	35567	53500
599	35624	53436
600	35679	53371
601	35758	53340
602	35818	53281
603	35874	53217
604	35934	53158
605	35993	53099
606	36048	53034
607	36107	52973
608	36156	52898
609	36219	52844
610	36282	52790
611	36344	52735
612	36406	52678
613	36473	52631
614	36536	52577
615	36596	52518
616	36668	52477
617	36747	52445
618	36828	52417
619	36892	52363
620	36956	52310
621	37022	52259
622	37079	52197
623	37141	52140
624	37195	52074
625	37271	52037
626	37328	51973
627	37385	51911
628	37442	51847
629	37496	51781
630	37551	51715
631	37608	51651
632	37668	51593
633	37734	51542
634	37788	51475
635	37853	51424
636	37909	51359
637	37974	51306
638	38026	51236
639	38090	51184
640	38156	51133
641	38221	51081
642	38284	51026
643	38340	50962
644	38400	50902
645	38457	50839
646	38513	50775
647	38564	50705
648	38618	50638
649	38676	50577
650	38728	50508
651	38785	50444
652	38846	50387
653	38902	50323
654	38961	50263
655	39019	50201
656	39081	50145
657	39132	50075
658	39193	50017
659	39241	49943
660	39299	49881
661	39358	49822
662	39422	49769
663	39482	49709
664	39539	49647
665	39596	49585
666	39657	49527
667	39713	49464
668	39763	49392
669	39833	49345
670	39903	49299
671	39958	49234
672	40020	49178
673	40078	49116
674	40139	49059
675	40190	48989
676	40251	48932
677	40309	48871
678	40371	48814
679	40426	48749
680	40482	48685
681	40536	48620
682	40596	48561
683	40647	48491
684	40702	48426
685	40763	48369
686	40820	48307
687	40884	48253
688	40945	48195
689	40995	48125
690	41061	48073
691	41123	48017
692	41179	47953
693	41236	47890
694	41286	47820
695	41346	47762
696	41396	47692
697	41454	47631
698	41513	47570
699	41568	47507
700	41630	47450
701	41692	47394
702	41760	47343
703	41820	47285
704	41877	47223
705	41937	47164
706	42013	47123
707	42072	47064
708	42130	47003
709	42186	46939
710	42242	46876
711	42299	46814
712	42357	46753
713	42417	46695
714	42483	46642
715	42538	46578
716	42595	46516
717	42653	46455
718	42714	46397
719	42782	46347
720	42843	46289
721	42901	46228
722	42965	46174
723	43013	46102
724	43068	46038
725	43125	45977
726	43186	45919
727	43251	45866
728	43314	45809
729	43368	45744
730	43460	45719
731	43529	45670
732	43603	45625
733	43686	45590
734	43752	45538
735	43809	45476
736	43863	45410
737	43927	45355
738	43980	45290
739	44038	45228
740	44099	45170
741	44176	45129
742	44234	45067
743	44290	45004
744	44346	44942
745	44410	44886
746	44471	44829
747	44526	44764
748	44578	44697
749	44641	44641
750	44696	44577
751	44752	44514
752	44807	44450
753	44864	44388
754	44924	44329
755	44973	44259
756	45033	44200
757	45092	44140
758	45148	44078
759	45210	44021
760	45266	43957
761	45323	43896
762	45385	43839
763	45449	43783
764	45507	43722
765	45563	43660
766	45620	43598
767	45680	43539
768	45743	43482
769	45796	43417
770	45850	43352
771	45909	43293
772	45959	43224
773	46012	43159
774	46065	43093
775	46121	43031
776	46172	42963
777	46225	42898
778	46288	42842
779	46350	42784
780	46403	42720
781	46470	42667
782	46533	42611
783	46594	42553
784	46656	42495
785	46717	42437
786	46773	42375
787	46829	42313
788	46884	42249
789	46940	42187
790	46997	42125
791	47051	42061
792	47107	41998
793	47163	41935
794	47224	41878
795	47300	41833
796	47366	41779
797	47428	41723
798	47490	41665
799	47558	41613
800	47622	41558
801	47704	41518
802	47777	41470
803	47832	41407
804	47885	41342
805	47951	41288
806	48036	41250
807	48142	41231
808	48226	41192
809	48292	41138
810	48355	41081
811	48429	41034
812	48505	40988
813	48574	40935
814	48635	40877
815	48714	40834
816	48789	40787
817	48852	40729
818	48909	40668
819	48972	40611
820	49035	40554
821	49091	40491
822	49150	40431
823	49209	40370
824	49268	40310
825	49327	40250
826	49384	40188
827	49445	40129
828	49498	40064
829	49558	40005
830	49612	39940
831	49666	39876
832	49723	39814
833	49781	39753
834	49839	39692
835	49895	39629
836	49950	39566
837	50006	39503
838	50054	39435
839	50117	39378
840	50179	39319
841	50241	39262
842	50298	39200
843	50352	39136
844	50408	39074
845	50472	39017
846	50522	38950
847	50589	38896
848	50656	38842
849	50711	38779
850	50769	38718
851	50825	38655
852	50898	38606
853	50960	38548
854	51020	38489
855	51077	38427
856	51150	38378
857	51213	38320
858	51270	38258
859	51331	38200
860	51381	38133
861	51437	38070
862	51497	38011
863	51560	37954
864	51620	37894
865	51676	37832
866	51736	37773
867	51794	37712
868	51850	37649
869	51904	37586
870	51965	37527
871	52023	37466
872	52080	37405
873	52136	37342
874	52201	37287
875	52263	37229
876	52316	37164
877	52369	37099
878	52432	37042
879	52485	36978
880	52538	36913
881	52593	36850
882	52654	36792
883	52722	36738
884	52790	36685
885	52851	36626
886	52911	36566
887	52971	36507
888	53031	36447
889	53089	36387
890	53150	36328
891	53206	36266
892	53261	36203
893	53313	36138
894	53374	36080
895	53428	36016
896	53486	35955
897	53565	35909
898	53621	35847
899	53672	35781
900	53730	35721
901	53788	35660
902	53850	35602
903	53905	35539
904	53964	35479
905	54019	35416
906	54078	35356
907	54149	35304
908	54201	35240
909	54261	35180
910	54316	35117
911	54391	35068
912	54470	35021
913	54545	34971
914	54623	34923
915	54699	34873
916	54773	34823
917	54826	34759
918	54897	34706
919	54961	34649
920	55018	34588
921	55073	34525
922	55129	34463
923	55190	34404
924	55243	34340
925	55296	34276
926	55350	34213
927	55409	34153
928	55471	34095
929	55533	34036
930	55585	33972
931	55646	33913
932	55703	33851
933	55760	33790
934	55822	33732
935	55878	33670
936	55935	33608
937	55988	33545
938	56035	33478
939	56088	33414
940	56140	33350
941	56198	33289
942	56256	33229
943	56308	33164
944	56371	33107
945	56430	33046
946	56491	32988
947	56554	32930
948	56613	32870
949	56670	32809
950	56727	32748
951	56790	32690
952	56852	32632
953	56909	32570
954	56967	32510
955	57027	32450
956	57102	32399
957	57163	32340
958	57234	32287
959	57293	32227
960	57349	32165
961	57412	32107
962	57472	32048
963	57527	31986
964	57587	31926
965	57647	31867
966	57709	31808
967	57774	31752
968	57835	31693
969	57892	31631
970	57943	31567
971	57995	31503
972	58061	31447
973	58117	31385
974	58181	31328
975	58247	31272
976	58306	31212
977	58361	31149
978	58419	31089
979	58485	31032
980	58540	30971
981	58596	30909
982	58651	30847
983	58717	30790
984	58770	30727
985	58826	30666
986	58882	30604
987	58942	30544
988	59004	30486
989	59059	30424
990	59109	30359
991	59176	30303
992	59241	30246
993	59299	30186
994	59348	30121
995	59410	30063
996	59463	30000
997	59516	29936
998	59575	29877
999	59637	29818
1000	59693	29757
1001	59762	29702
1002	59820	29641
1003	59889	29586
1004	59949	29527
1005	60007	29466
1006	60066	29407
1007	60128	29348
1008	60184	29286
1009	60248	29229
1010	60319	29175
1011	60388	29119
1012	60455	29063
1013	60518	29005
1014	60577	28945
1015	60638	28887
1016	60707	28831
1017	60792	28783
1018	60862	28729
1019	60928	28672
1020	60990	28613
1021	61048	28552
1022	61111	28494
1023	61163	28431
1024	61222	28371
1025	61276	28309
1026	61349	28255
1027	61405	28193
1028	61462	28132
1029	61518	28071
1030	61574	28010
1031	61627	27947
1032	61688	27888
1033	61744	27826
1034	61803	27766
1035	61860	27705
1036	61922	27647
1037	61981	27587
1038	62042	27527
1039	62101	27467
1040	62157	27406
1041	62224	27350
1042	62282	27289
1043	62334	27226
1044	62393	27166
1045	62451	27106
1046	62517	27049
1047	62573	26987
1048	62633	26928
